A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,L1,L2,L3,L4,L5,L6,L7
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.82474,0.73134,0.1553,0.51426,0.62028,0.2449,0.30425,0.45267,3,3,3,3,1,2,3
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.86082,0.59701,0.14751,0.10618,0.39707,1.0,1.0,0.01177,6,1,3,5,2,7,4
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.83505,0.85075,0.10222,0.43941,0.37203,0.2931,0.33478,0.14123,3,1,4,5,5,5,2
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.83196,0.35821,0.19761,0.18978,0.10536,0.1427,0.24823,0.01267,3,1,2,5,4,5,4
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.83093,0.67164,0.14138,0.8587,0.2508,0.13579,0.17464,0.09506,1,4,2,6,2,3,5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.85052,0.97761,0.16794,0.76241,0.46146,0.04257,0.10142,0.25712,2,3,6,7,1,4,5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.84021,0.76866,0.1871,0.12655,0.11805,0.14286,0.2,0.02897,5,6,4,3,2,1,7
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8299,0.79104,0.15087,0.41138,0.22071,0.10418,0.13858,0.06247,1,4,5,5,3,2,5
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.89691,0.25373,0.05607,0.07304,0.11027,0.08466,0.12707,0.05019,1,2,3,4,4,4,4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.81753,0.73881,0.02043,0.11459,0.00622,0.06356,0.0834,0.00724,1,4,4,2,4,4,3
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.79381,0.76119,0.02043,0.12589,0.02315,0.02974,0.03714,0.00724,1,4,4,4,3,4,2
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.76804,0.87313,0.0222,0.13092,0.01978,0.02488,0.034,0.00543,1,3,3,3,3,3,2
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.79794,0.71642,0.01277,0.10082,0.02928,0.02799,0.03043,0.37119,1,4,2,4,3,4,2
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.79588,0.8806,0.01609,0.12119,0.00859,0.03732,0.02685,0.00453,1,5,3,6,4,6,2
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.81443,0.71642,0.00766,0.11937,0.04958,0.03032,0.11025,0.00272,1,3,2,5,4,5,5
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.77835,0.85821,0.01201,0.10882,0.01583,0.00991,0.17584,0.00996,1,3,2,3,3,3,3
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.80206,0.89552,0.01788,0.11707,0.03684,0.04354,0.08949,0.00996,1,3,3,2,3,3,3
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.78454,0.73134,0.01788,0.11896,0.03363,0.04665,0.1035,0.00362,1,7,5,4,2,6,3
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.75773,0.77612,0.01788,0.14163,0.05258,0.09679,0.11007,0.00724,1,7,2,4,5,3,6
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.74227,0.68657,0.00204,0.05293,0.08693,0.03638,0.03221,0.00453,1,3,3,2,3,3,3
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.79897,0.76866,0.08409,0.24254,0.04507,0.03732,0.07159,0.06881,2,4,4,4,1,3,4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.78557,0.63433,0.03031,0.14138,0.22357,0.007,0.04922,0.01539,1,3,3,2,3,3,3
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.80825,0.70149,0.02803,0.12448,0.01341,0.007,0.02058,0.01358,1,2,6,3,6,5,4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.80103,0.79851,0.03202,0.32778,0.06278,0.02099,0.07899,0.02716,3,4,4,4,2,1,4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.73093,0.62687,0.02682,0.1296,0.03005,0.00933,0.02434,0.00453,1,3,3,2,3,3,3
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.70103,0.82836,0.02299,0.05194,0.02146,0.00933,0.0,0.02444,1,3,5,5,2,4,2
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.82474,0.73134,0.04087,0.06018,0.02146,0.06064,0.08054,0.00724,2,4,1,4,4,4,3
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.74227,0.84328,0.02299,0.01896,0.12878,0.02799,0.034,0.00453,1,3,2,4,4,4,4
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.76289,0.93284,0.03321,0.27453,0.06439,0.16793,0.25414,0.04436,4,1,5,6,3,2,6
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.83505,0.76866,0.06641,0.31162,0.06439,0.57376,0.54407,0.02535,3,2,1,6,4,6,5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.80412,0.84328,0.0513,0.24897,0.05312,0.12362,0.234,0.05251,6,3,4,6,2,1,5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.85567,0.81343,0.00299,0.06059,0.01449,0.00379,0.00537,0.00181,1,2,2,2,2,2,2
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.82474,0.0,0.0037,0.06678,0.01073,0.00583,0.00537,0.00272,1,2,2,2,2,2,2
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.85567,0.66418,0.05268,0.28145,0.24548,0.45859,0.45324,0.11154,5,1,3,4,6,6,2
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.83505,0.78358,0.05692,0.33561,0.19163,0.42547,0.45688,0.08109,3,2,4,1,2,5,5
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.82474,0.41045,0.19668,0.50256,0.13184,0.33518,0.52975,0.0335,5,3,1,4,5,5,2
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.84021,0.52985,0.13842,0.31566,0.69494,0.13861,0.31328,0.1195,5,5,5,3,2,1,4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.85567,0.57463,0.12771,0.70429,0.08156,0.61784,0.61673,0.2037,5,1,2,5,3,4,5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.85567,0.65672,0.1383,0.64551,0.05519,0.64571,0.58498,0.10719,3,4,5,5,1,2,5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.86598,1.0,0.17816,0.37552,0.04024,0.02332,0.07278,0.03531,1,3,5,5,4,2,5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.85567,0.93284,0.22222,0.40148,0.02415,0.06297,0.07785,0.02988,1,6,5,3,4,2,7
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.82474,0.90299,0.16935,0.37387,0.04185,0.03732,0.0698,0.00724,1,3,5,6,2,4,6
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9403,0.02299,0.01896,0.01073,0.01166,0.01074,0.00996,1,2,2,2,2,2,2
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.78351,0.71642,0.03831,0.24897,0.04293,0.06297,0.21655,0.02535,1,2,2,2,2,2,2
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.75155,0.83657,0.04534,0.25309,0.03756,0.03032,0.03725,0.10955,1,4,7,6,3,2,5
